question,intent
How can I read bifascicular block on an EKG?,general_info
Can young people get bifascicular block?,general_info
My father passes stools whenever he gets an urge to pass urine and antibiotics did not help. Why?,medication
I have white patch on my face. What could this be?,general_info
Does Rabipure vaccine require booster vaccination every year?,prevention
"My wife had a C-section done and her RBC is 3. 54, and hemoglobin is 11. 4. Are these values normal?",general_info
Will taking Progestin frequently to delay periods cause any problem?,general_info
Is it normal to see blood collection at internal OS?,general_info
What is the difference between left and right bundle branch block?,general_info
How accurate are ultrasounds in determinig the gestational age and conception?,general_info
Why am I having uneasiness in breathing?,general_info
Imbalance in blood report after I began cheating on my Paleo. Please suggest a plan.,general_info
Can I get positive effect on IBS by following keto diet?,prevention
Why does blood pressure change inspite of having drugs?,medication
Can rough and abnormal masturbation causes penis damage?,general_info
"I am supposed to be 10 weeks pregnant from my LMP, but the scan shows 6 weeks. Why?",general_info
Kindly tell the treatment to cure the eruptions on my forearms.,general_info
Please suggest the management for gas issue with stomach pain.,symptoms
Maintenance drugs in kidney carcinoma patient has been stopped. What is your opinion?,medication
What causes chest discomfort in a patient with anxiety disorder?,general_info
Will previous chlamydia infection have harmful effects in fertility of males?,general_info
"In my CBC, RBC shows anisopoikilocytosis. What does it indicate?",general_info
My period is irregular as I skipped placebo pills before a month. Kindly advice.,general_info
Why am I having fishy odor from vagina?,general_info
Why has the surface of mole after tearing not healed yet?,general_info
Why am I having a painless flap for three weeks in cheek near saliva hole?,symptoms
"I have a small pimple in the anal area, which itches sometimes. Is it piles?",general_info
Why cannot I bend my knee without having pain?,symptoms
When does pleural fluid collection occur?,general_info
I am unable to sleep at night because of stress. Please help.,general_info
Can there be no menses when anemic?,general_info
I have a small tooth cavity. Can it be cured by filling?,general_info
How will a doctor suggest treatment from the output of Holter heart monitor?,general_info
Does use of diapers cause redness around perianal area in babies?,general_info
I have severe foot pain. Kindly review my X-ray.,symptoms
Does high level of monocytes and platelets in blood test indicate cancer?,general_info
My periods occur either delayed or prior to the due date. Why?,general_info
Why do I get allergy on having some kind of seafood?,general_info
BCG spot has turned red after a long time with cold and cough. Kindly advise.,symptoms
What causes pain and red rashes on glans penis?,symptoms
"Why are my arms, neck and underarms blackish when compared to the rest of my body?",general_info
"To avoid pregnancy, what can I do after three days of unprotected sex?",prevention
"My left tonsil is swollen, and it is causing some pain. Could this be allergies?",symptoms
There are spotting and cramps soon after periods. Why?,general_info
I have hoarseness of voice for a month. Please help.,general_info
Can I start Unwanted 21 after my periods?,general_info
Should we opt abortion when mother is infected from HEV during pregnancy?,general_info
Baby is 1-year-old and has not started talking. Could it be a sign of autism?,general_info
I have a painless pea sized lump in groin area. Kindly advise.,symptoms
Can swelling in perianal area due to G-string mean herpes?,general_info
Can physiological rise in total T3 and T4 levels indicate pregnancy?,general_info
I have three painless blisters like bumps on penis. What are they?,symptoms
How can I avoid pregnancy after having unprotected sex on the sixth day of my period?,prevention
"How to get rid of the acne on my cheeks, chin, jawline and neck.",general_info
What is the management of sore in the foot?,general_info
Is it normal to have dizziness after ear infection treatment?,general_info
Kindly tell some ways to bring my partner out of depression.,general_info
Is it normal to not have periods till 18 years of age?,general_info
What causes thinning of crown hair in males?,general_info
Kindly suggest ways to grow more hair.,general_info
Kindly see my ECG report and advice.,general_info
Why is my mother unable to get a sound sleep after taking Stalopam?,general_info
Why is my 2 months old son suffering with dry cough?,symptoms
Can Fluoxetine cause disturbed sleep?,general_info
Can uteroplacental insufficiency lead to premature baby?,general_info
How can I confirm that whether my spotting is implantation bleeding or periods?,symptoms
Kindly explain the treatment for severe headache in right temple.,symptoms
Is the red spot on my nose something serious?,general_info
What are the ways to treat infection of nasal passage?,general_info
Eye hurts while watching TV. What can be done?,general_info
A sinus infection turned into two ear infections. Should I be worried?,general_info
Is follicular lymphoma treatable?,general_info
"Having a red itchy area on the penis, which pain after urinating. Why?",symptoms
My blood pressure is fluctuating with time and high during night. Why?,general_info
Kindly advice about the possibility sinus exposure on my X-ray taken to view third molar.,general_info
Is Zoloft safe for heart?,general_info
What can cause sudden tingling and itchy sensation?,general_info
I am facing premature ejaculation. How do I overcome it?,general_info
What medicines can treat my left-sided groin pain?,medication
What could the white cloudy area around the rim of my cornea be?,general_info
I want a fair skin. Can I use skinlite cream to get a fair and glowing skin?,general_info
Is female orgasm necessary for conceiving?,general_info
What are these rashes on the corona of my glans penis?,symptoms
I drank water containing HIV blood. Will I be HIV positive?,general_info
I had an asthma attack. Please interpret my chest x-ray for abnormal findings.,general_info
I had unprotected sex. Will I get pregnant with the pre-cum?,general_info
Does a large mole like discoloration indicate something?,general_info
How can I make the hypertrophied scar in the base of my nostril look better?,general_info
I am pregnant and I have itchy and burning bumps on my vagina. Kindly advice.,general_info
Does excess body heat cause swelling in the groin area?,general_info
"I get mixed thoughts of anger, self-hurting, and sadness. Am I unstable?",general_info
What is the treatment for recurrent worm disease in a 2-year-old?,general_info
My periods are not regular after my abortion. What should I do?,general_info
I have lost most of my foreskin in circumcision. Is there any medication to stimulate the growth?,general_info
My cystocele repair surgery failed. Should I get it done again?,general_info
Could gastritis cause black stools?,general_info
"Based on the hysteroscopy and MRI, please suggest whether I have arcuate or bicornuate uterus.",general_info
My alpha 2 globulin and gamma globulin are high. What does this mean?,general_info
What is the treatment for Fordyce's spots on private parts?,general_info
I have throat pain for past three days. How to cure the pain?,symptoms
I have tiny raised red spots on my inner arms. Should I visit a doctor for this?,general_info
I was advised to use Finasteride for four weeks before TURP. Is that safe?,general_info
What is the treatment for fordyce spot type rashes on the penis?,symptoms
I can sleep only after taking Seroquel 800 mg. Do I need to take it for life?,medication
I have a short and curved penis. How to boost my libido?,general_info
Why is the site of tooth extraction looking like a mold?,general_info
How to stop ear crackling?,general_info
My schizophrenic mother turns violent on auditory and visual hallucinations. Please suggest medication.,general_info
My hip X-ray is 35 mAs. Am I overexposed?,general_info
How can fever be treated in a baby?,symptoms
How can fever and a continuous dry cough be treated in a kid?,symptoms
"I have fever with dizziness, confusion and eye burning. Please advice.",symptoms
I have fever and headache after mosquito bite. Please advise.,symptoms
"Due to my IT profession, I have lower back pain and shoulder pain. Please suggest treatment options.",symptoms
Fever and chills in a child of age 3 years 6 months. What can be done?,symptoms
Fever with low WBC count. Could Eptoin be the cause?,symptoms
I have a static sound in my ears after I was exposed to a gunshot noise. Kindly advise.,general_info
My LDL level is 188. What should I do now?,general_info
"What to do for loneliness, stress, and negative thoughts?",general_info
How long should my husband and I wait to try for a baby if we did cocaine?,general_info
Please explain the poisonous effect of phenol ingestion.,general_info
For how long should I take Kalachikai powder to overcome PCOD problem?,general_info
Why do periods get delayed after first time sex?,general_info
My wife has itching on exposed areas for the past one year. Kindly suggest solution.,general_info
I have scar and black spots in my face due to an accident. How to get it removed?,general_info
"My transferrin saturation, and iron levels are low but hemoglobin is fine. What should I do?",general_info
Can I take Risperidone along with Wellbutrin? Will it be effective?,general_info
Will there be any cure for HPV in the near future?,general_info
"Why are faint T lines appearing on urine pregnancy tests, while ultrasounds say I am not pregnant?",general_info
Why is my baby's poop dark green?,general_info
Shall I continue kitchari mono-diet?,prevention
I have severe pain in my xiphoid process. Please help.,symptoms
I have some reddish white hard spots on my scrotum. Please suggest the treatment.,general_info
What could be the reason for pain in the middle of the chest?,symptoms
I have 10 spots on penis for a long duration with no harm. Is it STD?,general_info
I quickly get angry and throw things. Please help me to come out of this problem.,general_info
What can I do to treat the red itchy patches on my foreskin?,general_info
"If I not wear my specs for some time, will it affect my eye power?",general_info
Which homeopathy medicine is recommended for my son's concentration problem?,medication
"Suddenly, I am having double vision at both close and far objects. Do you have any idea?",general_info
"The bottom part of my abdomen hurts, and I cannot poop. Please help.",general_info
My tailbone pops in multiple places with pain. Why?,symptoms
My root canal treated tooth has broken off. What should I do now?,general_info
Guide me for the scan taken for swollen lymph node in the neck.,general_info
My friend has a second-degree heart block and low blood pressure. How to get it treated?,general_info
I am having hairfall even after PRP treatment. Why is it so?,general_info
I had circumcision two months ago. How long will it take for the swelling to subside?,general_info
We had unprotected sex on the 22nd day of her cycle. Is there a chance of getting pregnant?,general_info
Kindly suggest the symptoms of breast cancer.,symptoms
Does changing the formula milk cause vomiting and diarrhea in a 4 weeks old baby?,symptoms
I have bumps on my nose and chin but not sure whether they are pimples. Please check.,general_info
How to stay out of binge eating?,general_info
Is it safe to have Ashwagandha along with Effexor and Trazodone?,general_info
I have a muscular thing right out of my anus. What it could be?,general_info
Kindly guide how to use Kalarchi kai powder?,general_info
"As I have gallstones, is it mandatory to undergo cholecystectomy before planning pregnancy?",general_info
"I have lower back pain, and I am unable to put pressure on my legs to walk. What to do?",symptoms
"I suffer from PTSD, anxiety, depression and started noticing blackouts. Kindly advice.",general_info
I have chronic sinusitis and unbearable pain above the molars. What can be done?,symptoms
"Which valve would be best for my mitral stenosis, biological or mechanical?",general_info
Please suggest some good shampoo for dandruff.,general_info
What are the treatment options present for a huge uterine fibroid?,general_info
Can high lipoprotein and hs-CRP cause cardiac problems?,general_info
I become more hypersexual by having Concerta for ADHD. How can I control it?,general_info
I have a painful white scab in nostril and green mucus while coughing. Is it serious?,symptoms
I am not defecating properly in the morning hours. Why?,general_info
My phimotic ring is very tight. How can I make it less rigid and more elastic?,general_info
I am trying to conceive but I am spotting in my last two cycles. Why?,general_info
Can high blood pressure be the reason for the bloody mucus from my throat?,general_info
I have ringworm infection in the groin. Kindly suggest Ayurveda medicine.,medication
Can Fluoxetine be tried instead of Venlor XR?,general_info
Why does the skin around my anus have white spots?,general_info
"I have thyroid, irregular period and pregnancy test negative. What can it be?",general_info
I have crackling sound and soreness in my TMJ area. Will it go away by itself?,general_info
Are these the side effects of Phendimetrazine?,general_info
"What can be the reason for elevated RBC, Hb and Hct?",general_info
Why should not I use Hh Zole cream for long term?,general_info
I am 12 weeks pregnant. Is it safe to take antibiotics for cough?,medication
What is the transparent shiny red skin on penis with burning sensation?,general_info
Can anxiety and stress cause frequent urination?,general_info
My baby is suffering from eczema. Please suggest some treatment.,general_info
ALT and AST are out of range. What does it mean?,general_info
"After laser treatment of penile papules, my penis has become dark. Is it normal?",general_info
Can you please help me interpret my NT scan report?,general_info
There is a red spot on the white area of my husband's eye. What do we do?,general_info
"Other than Elocon, which ointment can I apply for rosacea?",general_info
What can cause RUQ pain?,symptoms
I have a tingling sensation in my hands and feet. Can it be due to anxiety?,general_info
I miss my best friend and feel depressed. What to do?,general_info
What can be the reason for sudden uneasiness and weakness?,general_info
What is the cure for loose motions?,general_info
"Suggest alternatives for Fentanyl, Propofol, and Versed as I am allergic to it.",general_info
I have swollen ankle joints. Kindly give your opinion on my Doppler report.,general_info
Is it normal to have white discharge after unprotected intercourse?,general_info
What should I do when hot oil splashed on my hands?,general_info
Kindly advice diet for a TB patient under DOTS treatment.,prevention
Hb is 8. 7 during pregnancy. Should blood transfusion be done?,general_info
Thyroid levels gets increased after delivery. Why?,general_info
Exams trigger my OCD. Can I take Prodep just for a month?,general_info
Daughter has got red itchy bumps due to mosquito bite. What can I do to help her?,general_info
Boils at the back of the neck got worsen after using Hydrocortisone. Kindly advice.,general_info
I had antibiotics for chest infection. Could that be the reason for swollen penis tip?,medication
Chronic atopic gastritis has caused osteoporosis and joint weakness. Please suggest supplements.,general_info
What can be reason for minimal ejaculation?,general_info
What is the treatment of receding hairline and hair fall?,general_info
"Please suggest some medicine for flatulence, digestion problem and stomach pain in a 6 year old.",medication
I feel a tight band like pressure on my head while wearing specs. Why?,general_info
Kindly suggest the ways of brushing after removing a tooth.,general_info
I have oily skin with acne and dark spots. Please help.,general_info
"Why are there bleeding, pain, and discomfort during sex?",symptoms
My eyes are yellow and red stained after using Visine for allergy. Why is it so?,general_info
Does having Cyclogest causes shortness of breath?,general_info
I have knee pain. Could it be due to wearing of improper shoes?,symptoms
"White itchy spots around the lips, below the nose, and on the chin. What could it be?",general_info
Is there any change of pregnancy followed by oral sex?,general_info
I have Budd-Chiari syndrome and I feel very uncomfortable due to ascites. Please help.,general_info
"Does Paracetamol allergy cause itchy rashes on face, and stomach in a 6-year-old?",symptoms
My period is irregular after abortion. Is that due to PCOS or uterine cancer?,general_info
I am a HIV negative man married to a HIV positive woman. We would like to have a child. Please advice.,general_info
"Even after surgery and chemo, some swelling in neck was detected as SCC. Is it possible?",general_info
My friend is disturbing me and I cannot study or work. What to do?,general_info
Why do I have burning sensation in my vagina after sex?,general_info
Skin of penis is peeling a day after sex. Can it be yeast infection or STD?,general_info
What can I take for bacterial infection in my gums?,general_info
My marriage life is getting affected due to the loss of my sexual drive. What can I do?,general_info
HIV tridot antibody test negative till 10 weeks. Are there chances of turning into positive at 12 weeks?,general_info
Why am I having red itchy patches on groin area?,general_info
Does iron deficiency cause a pain around the belly button?,symptoms
"I am experiencing side effects of Doxycycline, which I took for UTI. Please help.",general_info
I have painful dry patches around both eyes. What can be done?,symptoms
"I have leg restlessness, tiredness, and sleepiness altogether. Why is it so?",general_info
What is the reason for my restlessness?,general_info
Why does the cough after choking persist so long in a baby?,symptoms
What should be done for fluttering sound in the ear?,general_info
"What are the causes of diarrhea and nausea every morning, with terrible sinus headache?",symptoms
What causes running nose and nasal congestion?,general_info
Recurrent sinus infections are disrupting my life. Please help.,general_info
What can be the reason for the allergy on cheeks and chin of an one month old child?,general_info
Why does the skin next to both sides of my nose get red and flaky?,general_info
My 2. 8 year old cried hard and developed hoarse voice. Is that due to crying or infection?,general_info
"Why do I feel like having water in my chest, and neck that passes down the stomach?",general_info
My baby feels gassy and spits even after burping. Why?,general_info
"From the MRI report, what is your opinion regarding the heaviness of head?",general_info
Should my son wear specs for cylindrical power of 1 and 1. 25?,general_info
Can emphysema result from RCT treatment?,general_info
Is there a chance of HIV transmission through contaminated waxes used in parlor?,general_info
Is it mandatory to stop MAO inhibitor before spine surgery?,general_info
Is Diovan an effective drug for left ventricular hypertrophy?,medication
"How to get rid of extreme fear, suicidal thoughts, and fear of failure?",general_info
Shall I opt Finasteride for hair loss?,general_info
What causes delay in periods after unprotected sex?,general_info
Is pregnant woman at high risk to acquire Zika virus?,general_info
"Why do I have loss of libido, premature ejaculation, erectile dysfunction, and fatigue?",general_info
My platelet count is high. What could be the reason?,general_info
How can high platelets count with mild anisopoikilocytosis be cured?,general_info
Do I need antibiotics for diarrhea?,medication
What are the causes of increased blood protein levels?,general_info
"I have just one kidney, can I fast?",general_info
What are the causes of missed period?,general_info
Does GABA supplements cause sleep disturbances?,general_info
Why is 5-month-old baby having loose motion with pH level of 6?,general_info
How to make sure that I am suffering from toxic shock syndrome?,general_info
Is there any alternate method other than drugs to treat schizophrenia?,medication
There is no yolk sac and fetal pole in gestational sac. Is it something serious?,general_info
I have attached my sperm count analysis report. Are the values normal?,symptoms
Having cluster of bumps on either side of the penis. What could it be?,general_info
Can Iron tablets cause irregular periods?,medication
"I am under Depakote XR, and Paroxetine CR for OCD. Will these drugs cause Parkinson's disease?",medication
I am under treatment for stable angina. Do I need a cardiac MRI to gain the status of my disease?,general_info
"Can I try for pregnancy when my HSV IgM, CMV and rubella IgG positive?",general_info
Does FEV1 71 % suggest COPD in a patient with productive cough?,symptoms
"What should I opt for bipolar depression, Lamotrigine or ketamine infusion therapy?",general_info
"What is the reason for burning discomfort in my legs, buttocks, arms, hands, and lower back?",general_info
Is there a remedy for gallstones in homeopathy?,general_info
Diagnosed with kidney and ureter stones. Can you help me to get rid of my abdominal pain?,symptoms
I have hard skin patches in hands and feet for more than 10 years. Kindly help.,general_info
I have acute chest pain inspite of no major blockages in the heart. Why?,emergency
What causes irregular periods in a 21-year-old?,general_info
I have fast heartbeat after angioplasty. Is Hawthorn or Motherwort advisable to control it?,general_info
What is the condition when there is low haemoglobin and high platelet count?,general_info
Being a PCOS patient can I take I-pill effective after sexual intercourse?,general_info
Why is there no withdrawal bleeding after taking Unwanted 72?,symptoms
Why are there deposits on teeth after some days of scaling?,general_info
Can I use Heparin cream for visible and painful penis veins?,symptoms
Are the white and sore blisters in genitals due to herpes?,general_info
Does low hCG level indicate ectopic pregnancy or miscarriage?,general_info
Is Taro-Mupirocin a recommended for healing burns?,general_info
Is there any finding in my MRI regarding ice pick headaches?,symptoms
What is the cause and solution for bleeding gums?,symptoms
Why is the hCG not raising although the endometrium is thick?,general_info
What vegetable juice can be taken for daily routine?,general_info
Why am I unable to gain weight even after eating healthy foods on time?,general_info
What is the possible way to reduce mild vertigo?,general_info
I am not on Femilon but still getting discharge after intercourse. Why?,general_info
How to go about the treatment in a patient with chronic cough?,symptoms
What is the treatment for thinning of hair?,general_info
What does my chest scan result indicate?,general_info
My daughter has acne in chin and jawline with intake of Cabergoline for high prolactin. Please help.,general_info
What is the duration of Fertyl M and Hey Forte Plus tablet for infertility?,medication
My HSV 1 IgG value is 49. 20. Why is it so high?,general_info
How to treat foreskin cracks?,general_info
"What should I do to manage pimple, acne scars, dark circles and white hair?",general_info
Kindly suggest Ayurveda treatment for sensorineural hearing loss?,general_info
Is triple vessel heart disease a life threatening condition?,general_info
What is the treatment for itchy skin ulcer in pubic area?,general_info
Is Ecosprin 75 mg mandatory during pregnancy?,medication
"Are Hashimoto’s, and ankylosing spondylitis the reason for severe hair loss?",general_info
"Having panic attack, anxiety, and fear of brain tumour for past six years. Please help.",general_info
Should I be concerned about blood in sputum?,general_info
Why do I get recurrent red rashes on the penis?,symptoms
I had retinal detachment and having problem with depth perception. Is this normal?,general_info
"How can I get rid of left-sided headache, associated with ear and nose pressure?",symptoms
I want my eyebrows and eyelashes to be thicker. Help me.,general_info
Kindly guide me about the difference between birth control and combined contraceptive pills.,general_info
Having on and off heavy bleeding other than normal menstruation. Why?,symptoms
I took birth control pills and have spotting when I wipe. Please help.,general_info
"I am getting regular period and on Nexplanon, but still spotting. Is that due to pregnancy?",general_info
Why do I have a persistent pricking pain and discomfort in my throat and tongue?,symptoms
"Are hair fall, acne, indigestion and irregular periods interrelated?",general_info
Kindly suggest medication other than Enterogermina for gas problem in a 11-month-old.,general_info
I have been self-harming myself. Please help.,general_info
I am loosing memory following a sharp and painful headache. Why?,symptoms
Can chronic fatigue be due to low UIBC and DHEA levels in blood?,general_info
My luteal phase keeps changing. Should I test for PCOS?,general_info
My son is suffering from stress and I am desperate. Kindly advice.,general_info
I am suffering from testicle pain and bubbles in penis after unprotected sex. Kindly help.,symptoms
Kindly advice me how to delay my period.,general_info
I have painless white bumps on the penis after unprotected sex. What could it be?,symptoms
I have red rashes on breast followed by milky discharge. What could cause this?,symptoms
I remember my old days as a dream instead of a clear memory. Why?,general_info
Hearing damaged after hearing high sound. Would doing the same thing cause further damage?,general_info
Can you suggest the best medicine for itching?,medication
Is Progynova advisable to build up endometrium in a primary infertility patient?,general_info
"I have brain fog, hair loss, and weight loss. What are the recommended medicines?",medication
Why does MRI shows sequela of lacunar type infarction with gliotic changes?,general_info
How to get rid of brain fog?,general_info
I have lost sharp clarity and blurred vision. Is this macular degeneration?,general_info
Are these medicines sufficient to control hypertension?,medication
Is it normal to have an increased hCG after 48 hours?,general_info
The foreskin covering the penis is very intact and not retracting during erection. What could it be?,general_info
What are the chances of re-tearing of acromioclavicular joint after surgery using cadaver tendon?,general_info
Can a wart like lesion on foot be melanoma?,general_info
Is it normal for a 2-year-old to not speak properly?,general_info
I am having on and off fever for one week. What fever is it?,symptoms
I have an unilateral tonsil enlargement. Why is it so?,general_info
I had Krimson 35 after sex. Is there a chance for pregnancy?,general_info
My right eye pupil neither dilates or constricts. Why?,general_info
Can eye power be reversed by eating carrots and vitamins?,general_info
Which crown should I wear for a RC treated tooth?,general_info
Please suggest the dose of Anafranil for OCD.,medication
I have astigmatism. Can I opt for a regular contact lens and will it cause any damage?,general_info
Kindly suggest best mouthwash and paste for daily use.,general_info
I have myopia and my vision is getting worse. What should I do?,general_info
I have a scab after removing the wart in my arms through laser. What to do?,general_info
I have a few swellings in underarms. Are they related to cancer?,general_info
How to confirm diabetes when we receive unlike values from different lab?,general_info
I am under Levothyroxine for underactive thyroid. What kind of foods should I avoid?,prevention
I am getting blackout when I turn my head to the right. Why?,general_info
How to treat persistent itchy rashes on the ear?,symptoms
"I have severe eczema on face, neck, and shoulders. What should I do to manage it?",general_info
My girlfriend did not get her period after unprotected sex. What to do?,general_info
I am already on Krimson 35 should I take I-pill after unprotected sex?,general_info
Is it normal to get blood in the penis after having walk in the treadmill after 60 minutes walk?,general_info
Please give suggestions to improve my weight.,general_info
I was on Cipralex for anxiety and stopped now. Can I control my anxiety without medicines?,medication
I am getting acne along the jawline and cheeks. Is that due to hormonal changes?,general_info
What is the definitive test for MND?,general_info
What are the symptoms of DVT?,symptoms
Is it possible to achieve orgasm without a vibrator?,general_info
Why do I have painful red spots and skin cracks on my penis?,symptoms
"I have painful eruptions on thighs, forearms and lower back. What could it be?",symptoms
What can be done when blood occurs in semen after having unprotected sex?,general_info
Kindly suggest me long term drugs without side effect for anxiety and depression.,medication
What can I do to get rid of my hair fall problem?,general_info
I lack my concentration due to unwanted sex I had. What should I do?,general_info
What can be the reason for lack of libido after discontinuing Risperdal?,general_info
I have rashes on penis due to balanitis. What can be done?,symptoms
I get bleeding from my left ear with no pain. Why?,symptoms
What treatment should I get for anaphylaxis?,general_info
What should I do to manage the fear of death?,general_info
How to manage pain in penis?,symptoms
Can I opt for PRP injection after IVF failure?,general_info
Is it possible to transmit HIV through the cuts in hand?,general_info
My postprandial sugar value is less than fasting level. Why?,general_info
"What are the causes for a painless,non-itchy bumps on penis?",symptoms
What are the cause for blood in urine,general_info
Kindly advice me on bipolar affective.,general_info
Kindly suggest ointment for balanitis.,general_info
How often should I change my toothbrush?,general_info
I had sex with my partner last month and missed periods. Am I pregnant?,general_info
Can Kalarchi choornam be taken for fallopian tube blocks?,general_info
How to Cure Candidial Balanitis?,general_info
Will I-pill tablet work if taken two hours after the act?,medication
I would like to know if I can take kalarchi choornam for PCOS.,general_info
"After I-pill, I had a flow but it was not heavy. What is the chance of pregnancy?",general_info
My blood smear shows mild anisopoikilocytosis. Should I be concerned?,general_info
Why do I have swelling and pain in the knee. Please explain my MRI.,symptoms
"Which condition has the symptoms of anxiety, stress, breathing difficulty, and dizziness?",symptoms
I consumed I-pill after unprotected sex. Will it delay my periods?,general_info
How to overcome severe anxiety?,general_info
Should I use EllaOne during intercourse with condom?,general_info
Can a PCOS patient get pregnant?,general_info
How can cortisone help if taken before transferring an embryo?,general_info
Kindly explain the MRI taken for back pain.,symptoms
Can I take nasal steroid spray to treat nasal inflammation and clogged ear?,general_info
What is the treatment for pus discharge from eyes of a 2-year-old?,general_info
Why do I get hives and swellings on eating mangoes?,general_info
Kindly suggest management for scalp itching.,general_info
Is it normal to get brown vaginal discharge on arousal?,general_info
What causes high platelet count in a baby?,general_info
Will overthinking make a person anxious during intercourse?,general_info
Can implantation take place after 14 days of conception?,general_info
My ECG and lipid profile are normal but still I have chest pain. Why?,emergency
"Other than pregnancy kit, what can I opt to check pregnancy?",general_info
My veins are clearly noticeable. Should I look for any treatment?,general_info
Can papilledema occur bilaterally?,general_info
At what circumstances does black circular patches occur in the leg?,general_info
What is the treatment for recurrent OCD?,general_info
How long will it take to recover from rheumatism?,general_info
Is it normal to have penis and testes not hanging down?,general_info
What are the chances of pregnancy after having sex three days before periods?,general_info
I am suffering from anterior tibial tendinitis. Should I quit my job?,general_info
Is the antibiotic prescribed to my dad appropriate?,medication
My erection does not last long. Is this due to fear?,general_info
Does this root canal treated tooth of mine require a post?,general_info
What foods can my wife take to improve fertility?,general_info
When does one get small red blisters on genitalia?,general_info
I am using Minoxidil but not satisfied with the outcome. What is wrong here?,general_info
How can adhesive otitis with SOM be treated?,general_info
Is it normal to miss periods after taking I-pill?,general_info
Please suggest the future prognosis of a child with abnormal hemoglobin pattern.,general_info
What are the symptoms of chickenpox?,symptoms
Why are there white spots inside my cheeks with sores on tongue and lips?,general_info
My chest X-ray shows enlarged heart due to cocaine use. Will it get better?,general_info
Is pregnancy possible when precum enters vagina indirectly?,general_info
How to overcome my family frustrations and jobless days?,general_info
I am suffering from sleep disturbances. Kindly help me.,general_info
I have severe toothache with swelling. What is the management option?,symptoms
What causes pain in penis during erection?,symptoms
Does getting acne have anything to do with my periods?,general_info
What are the chances of getting brain damage due to stress?,general_info
Please give some tips to improve my speech and articulation skill.,general_info
What is the cause of body itching and how to prevent it?,prevention
I have shortness of breath on exertion with muscle weakness. Why?,general_info
What are the long acting drugs advised for anxiety?,medication
Can you give a permanent solution for abdominal water retention?,general_info
Why do I have a problem of loosening of my eyelids?,general_info
I get recurrent spots on the penile head with some discomfort. Please help.,general_info
What to do for sleep disorder?,general_info
Can you recommend some medicine for earache?,medication
How does meconium aspiration syndrome affect a newborn?,general_info
Can kidney get affected in a diabetic patient?,general_info
Can lobotomy be done for patients with stress?,general_info
What can be used for vernal conjunctivitis other than Cromolyn?,general_info
How to resolve peripheral vision problem?,general_info
Is there any way to treat pinworm infestation permanently?,general_info
What are the ways to get pregnant without penetration?,general_info
Can I take PPI to treat gurgling caused due to GERD?,general_info
What should I do to be happy all over the day inspite of hurting myself?,general_info
Kindly explain well defined altered cystic signal intensity along nerves in MRI.,general_info
How can inflammatory myopathy be cured?,general_info
We lack sex because of premature ejaculation. How to overcome this problem?,general_info
If problem is in hip joint then why do I have pain in the knee?,symptoms
Are there any complications associated with panurethral stricture?,general_info
How to reduce TG/HDL ratio?,general_info
Is there any dietary precaution for deranged kidney function?,prevention
What does my chest x-ray reveal?,general_info
What do high readings in kidney function tests indicate?,general_info
Why am I having red itchy rashes on thighs?,symptoms
How to overcome lack of concentration and negative thinking?,general_info
I am having irregular periods with pain in left side of the body. Please help.,symptoms
Are we undertaking the right treatment for ankle injury?,general_info
My son is 4-year-old has gas trouble and constipation. Please advice.,general_info
What causes gas issues with headache and leg pain?,symptoms
Kindly suggest the management for chronic shoulder pain.,symptoms
What can be done for raised heart rate in a hypothyroid patient?,general_info
Is it normal for a patient to behave like a child after a fainting episode?,general_info
Can I use ayurveda beauty products for tanned skin?,general_info
I have rashes since three years. Kindly advice.,symptoms
Will I get pregnant after having unprotected sex the night before I got my period?,general_info
I have not got any withdrawal bleeding after taking I-pill. Am I pregnant?,symptoms
I need a second opinion for the medicines I take for bipolar I and ADHD.,medication
I am suffering from chest pain for three months. Kindly advice.,emergency
What cause severe itching and white discharge during periods?,general_info
What are the benefits of using krill oil for brain and heart?,general_info
Why am I having itching and burning penis with a red rash?,symptoms
I am pregnant and suffering from low iron level. Can I have normal delivery?,general_info
What are the symptoms of bipolar disorder?,symptoms
Is it advisable to take Tranlok-E during pregnancy?,general_info
What does echocardiography report indicate?,general_info
What are the ways to control farting at night?,general_info
I have a swelling on penis that does not hurt. What is it?,general_info
Is there any risk in repeated open heart surgery?,general_info
How to get treated for tinnitus?,general_info
Why does my seminal fluid leak out soon?,general_info
I have been sick with very sore joints and muscles. What could it be?,general_info
What home remedies can be used to cure loose motions in a baby?,general_info
Can bleeding after sex during pregnancy be due to miscarriage?,symptoms
Is gum disease causing bleeding in mouth?,symptoms
Can high protein levels indicate cancer in ANA patient?,general_info
What are the causes for missed periods after sex?,general_info
Why am I having elevated lymphocytes?,general_info
What are the ways to regulate periods in an overweight patient?,general_info
How can I get relief from inguinal hernia without surgery?,general_info
I am HLA-B27 patient. Is there any side effects on taking Adalimumab injections?,general_info
What is the scale of STD risk in masturbating a man with bare hand?,general_info
"A 9-year-old is suffering from red eye, tearing, and uncontrolled pupil movement. Kindly advice.",general_info
What causes blisters on the lip?,general_info
My baby is 10 month old. Can I start solid food now?,general_info
What should I do when I miss my regular contraceptive pills after having unprotected intercourse?,general_info
Should I take an emergency move when a 9-month-old swallowed a piece of balloon?,emergency
What do my foot and ankle scans indicate?,general_info
What are the chances for TB to recur after completion of medicine?,medication
